aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
0.4980,-0.9968,-0.8655,-6.5308,2.1362,-1.4648,18.2129,-17.5415,-2.5635
0.4645,-1.1069,-1.0479,-8.1177,-11.8408,4.3335,18.2129,-17.5415,-2.5635
0.4231,-1.1957,-1.2085,-2.7466,-46.2646,19.5313,18.2129,-17.5415,-2.5635
0.2960,-1.2968,-1.4939,3.7231,-66.0400,28.3203,18.2129,-17.5415,-2.5635
0.2085,-1.3043,-1.5558,6.8359,-86.9751,37.6587,16.5283,-18.4448,-2.9297
0.1318,-1.3341,-1.5503,-8.2397,-130.6152,57.0679,16.5283,-18.4448,-2.9297
-0.1364,-1.2198,-0.9833,-18.0664,-152.5269,68.9697,16.5283,-18.4448,-2.9297
-0.2406,-1.0282,-0.4226,-22.8271,-171.3257,81.2378,16.5283,-18.4448,-2.9297
-0.3163,-0.6957,0.1255,-7.3853,-192.3828,99.4873,11.8774,-21.7773,-4.8096
-0.3658,-0.0765,1.0518,0.5493,-194.1528,102.4170,11.8774,-21.7773,-4.8096
-0.3601,0.1638,1.3882,7.8735,-191.8335,101.6846,11.8774,-21.7773,-4.8096
-0.3352,0.3446,1.7321,12.8174,-177.1851,92.1021,11.8774,-21.7773,-4.8096
-0.2426,0.5521,2.2404,18.9209,-165.1611,84.8999,11.8774,-21.7773,-4.8096
-0.1974,0.5925,2.3579,18.7988,-151.3062,76.9043,7.4829,-24.1577,-5.7129
-0.1500,0.6058,2.3942,15.9912,-120.7275,61.6455,7.4829,-24.1577,-5.7129
-0.0956,0.6118,2.4176,11.9629,-108.2764,54.8706,7.4829,-24.1577,-5.7129
-0.0768,0.5549,2.3893,13.7329,-94.8486,48.5840,7.4829,-24.1577,-5.7129
-0.0658,0.4631,2.3414,31.0059,-70.5566,39.5508,4.6143,-25.2197,-7.9590
-0.0500,0.4939,2.2728,22.0947,-59.7534,37.2925,4.6143,-25.2197,-7.9590
-0.0492,0.5739,2.2197,24.9634,-49.9268,34.6680,4.6143,-25.2197,-7.9590
-0.0564,0.6481,2.1617,24.5361,-33.0811,26.5503,4.6143,-25.2197,-7.9590
-0.0605,0.8175,2.1624,22.2168,-25.6348,21.3623,4.6143,-25.2197,-7.9590
-0.0476,0.9122,2.1737,18.8599,-18.1274,15.3809,3.2104,-24.7803,-9.1187
-0.0486,1.0005,2.1855,13.4888,-2.6245,-0.4272,3.2104,-24.7803,-9.1187
-0.0640,1.0657,2.1798,7.0190,5.2490,-9.1553,3.2104,-24.7803,-9.1187
-0.0614,1.0352,2.1155,6.5308,13.4888,-18.7378,3.2104,-24.7803,-9.1187
-0.0659,0.9730,2.0333,4.8828,27.8931,-36.5601,3.4790,-24.7559,-9.3384
-0.0901,0.8380,1.9642,0.0000,33.8135,-43.8232,3.4790,-24.7559,-9.3384
-0.1007,0.8019,1.9640,-4.6997,39.4287,-50.7202,3.4790,-24.7559,-9.3384
-0.1132,0.7684,1.9872,-10.3149,50.7202,-63.5376,3.4790,-24.7559,-9.3384
-0.1462,0.6869,2.0620,-9.2773,57.3120,-69.9463,3.4790,-24.7559,-9.3384
-0.1644,0.6127,2.0817,-7.1411,64.3311,-76.1108,6.7749,-23.9746,-7.0557
-0.1803,0.5380,2.0919,-4.3945,79.2847,-86.8530,6.7749,-23.9746,-7.0557
-0.2198,0.4072,2.1019,-7.2632,87.3413,-91.4307,6.7749,-23.9746,-7.0557
-0.2396,0.3635,2.1045,-11.1084,95.7642,-95.9473,6.7749,-23.9746,-7.0557
-0.2678,0.2477,2.0250,-2.1973,113.5254,-104.6143,10.1196,-21.9238,-5.4565
-0.3027,0.1010,1.9436,-17.2119,123.0469,-108.7036,10.1196,-21.9238,-5.4565
-0.3215,0.0017,1.8533,-11.8408,131.4087,-111.8164,10.1196,-21.9238,-5.4565
-0.3345,-0.1151,1.7267,-8.7891,155.3955,-116.0889,10.1196,-21.9238,-5.4565
-0.3584,-0.3639,1.3572,13.0615,153.9917,-116.5161,10.1196,-21.9238,-5.4565
-0.3295,-0.5060,1.1281,0.3052,160.0342,-116.0278,12.4756,-17.6514,-3.0396
-0.3140,-0.6361,0.9000,-3.7842,164.2456,-111.5112,12.4756,-17.6514,-3.0396
